,DrugID,Generic Name,DEA Schedule,Common Uses,Interacts With,Risk Level,Interaction_ID
320,76338,alprazolam,CIV,"Anxiety, panic disorders",ethanol,Moderate,53125
321,76338,alprazolam,CIV,"Anxiety, panic disorders",amyl nitrite,Moderate,58386
322,76338,alprazolam,CIV,"Anxiety, panic disorders",cobicistat,Moderate,63331
323,76338,alprazolam,CIV,"Anxiety, panic disorders",deferasirox,Moderate,11731
324,76338,alprazolam,CIV,"Anxiety, panic disorders",diazoxide,Moderate,10803
325,76338,alprazolam,CIV,"Anxiety, panic disorders",flumazenil,Moderate,80004
326,76338,alprazolam,CIV,"Anxiety, panic disorders",magnesium carbonate,Minor,81199
327,76338,alprazolam,CIV,"Anxiety, panic disorders",phentolamine,Moderate,95096
328,76338,alprazolam,CIV,"Anxiety, panic disorders",prednisolone,Minor,47261
329,76338,alprazolam,CIV,"Anxiety, panic disorders",promethazine,Moderate,39177
330,76338,alprazolam,CIV,"Anxiety, panic disorders",iodide i-123,Moderate,12814
331,76338,alprazolam,CIV,"Anxiety, panic disorders",iodide i-131,Moderate,89593
332,76338,alprazolam,CIV,"Anxiety, panic disorders",sevelamer,Minor,49368
333,76338,alprazolam,CIV,"Anxiety, panic disorders",leucovorin,Minor,51646
334,76338,alprazolam,CIV,"Anxiety, panic disorders",acetylcysteine,Minor,52610
335,76338,alprazolam,CIV,"Anxiety, panic disorders",galactose,Minor,96974
336,76338,alprazolam,CIV,"Anxiety, panic disorders",folic acid,Minor,81096
337,76338,alprazolam,CIV,"Anxiety, panic disorders",gadodiamide,Minor,98083
356,11966,amlodipine,Non-Control,"High blood pressure, chest pain",gadopentetic acid,Moderate,98875
357,11966,amlodipine,Non-Control,"High blood pressure, chest pain",amifostine,Moderate,10853
358,11966,amlodipine,Non-Control,"High blood pressure, chest pain",cobicistat,Moderate,63331
359,11966,amlodipine,Non-Control,"High blood pressure, chest pain",deferasirox,Moderate,11731
360,11966,amlodipine,Non-Control,"High blood pressure, chest pain",gadoteric acid,Moderate,13871
361,11966,amlodipine,Non-Control,"High blood pressure, chest pain",gadoxetic acid,Moderate,36386
362,11966,amlodipine,Non-Control,"High blood pressure, chest pain",iodipamide,Moderate,87496
363,11966,amlodipine,Non-Control,"High blood pressure, chest pain",iopanoic acid,Moderate,70029
364,11966,amlodipine,Non-Control,"High blood pressure, chest pain",iothalamic acid,Moderate,46641
365,11966,amlodipine,Non-Control,"High blood pressure, chest pain",iopodic acid,Moderate,71700
366,11966,amlodipine,Non-Control,"High blood pressure, chest pain",magnesium sulfate,Moderate,16998
367,11966,amlodipine,Non-Control,"High blood pressure, chest pain",prednisolone,Moderate,47261
368,11966,amlodipine,Non-Control,"High blood pressure, chest pain",promethazine,Moderate,39177
369,11966,amlodipine,Non-Control,"High blood pressure, chest pain",nitrous acid,Moderate,58109
370,11966,amlodipine,Non-Control,"High blood pressure, chest pain",tyropanoic acid,Moderate,21328
371,11966,amlodipine,Non-Control,"High blood pressure, chest pain",gadoversetamide,Minor,61006
372,11966,amlodipine,Non-Control,"High blood pressure, chest pain",sevelamer,Minor,49368
373,11966,amlodipine,Non-Control,"High blood pressure, chest pain",iopromide,Minor,37238
